Entry ID,Jurisdiction ,Date,Action,Intervention Category,Intervention type,Description,Organization
NB104,N.B.,2020-06-19,Eased,Travel,Restrictions,Travel restrictions lifted on Canadian residents with property or immediate family in N.B.,"Premier, Chief Medical Officer of Health
"
NB105,N.B.,2020-06-09,New ,Public information,Masks,Mandatory use of face coverings in some public spaces announced,"Department of Health
"
NB107,N.B.,2020-06-19,Eased,Travel,Self-isolation,Mandatory self-isolation lifted for N.B. residents returning from work in another province or territory,"Department of Health
"
NB108,N.B.,2020-06-26,Eased,Closures/openings,Recreation,All remaining recreational businesses reopened,"Department of Health
"
NB109,N.B.,2020-06-26,Eased,Closures/openings,Non-essential services,All remaining non-essential businesses reopened (including Zone 5),"Department of Health
"
NB113,N.B.,2020-06-18,New ,Health workforce,Safety guidelines,Directives for safe reopening for dental hygienists,"New Brunswick College of Dental Hygienists
"
NB114,N.B.,2020-05-08,Eased,Public information,Phase and alert level changes,All regions entered Phase 2 (orange) of recovery plan,"Office of the Premier, Chief Medical Officer of Health
"
NB115,N.B.,2020-05-22,Eased,Public information,Phase and alert level changes,All regions entered Phase 3 (yellow) of recovery plan,"Office of the Premier, Chief Medical Officer of Health
"
NB116,N.B.,2020-05-27,New,Public information,Phase and alert level changes,Zone 5 re-entered Phase 2 (orange) of recovery plan,"Office of the Premier, Chief Medical Officer of Health
"
NB117,N.B.,2020-06-26,Eased,Public information,Phase and alert level changes,Zone 5 entered Phase 3 (yellow) of reopening plan,"Office of the Premier, Chief Medical Officer of Health
"
NB118,N.B.,2020-07-03,Eased,Travel,Restrictions,"Travel bubble with P.E.I., N.L. and N.S. announced","Department of Health
"
NB119,N.B.,2020-07-03,Eased,Travel,Self-isolation,"Travel bubble with P.E.I., N.L. and N.S. announced allowing entrance without requirement to self-isolate","Department of Health
"
NB121,N.B.,2020-07-09,New,Travel,Restrictions,Released a pre-travel registration service for health screening and preparation of travel documentation,"Department of Public Safety
"
NB124,N.B.,2020-08-01,Eased,Travel,Self-isolation,Self-isolation requirements for N.B.-Que. border community day travel lifted,"Department of Health, Department of Public Safety
"
NB127,N.B.,2020-06-19,New,Case management,Contact tracing,Venues with seating and hosts of gatherings larger than 50 required to record guests' contact information,"Department of Health
"
NB128,N.B.,2020-06-26,Eased,Health services,Visitors,"In Zone 5, visitor restrictions in long-term care relaxed to allow 2 outdoor visitors and 1 indoor visitor","Department of Health
"
NB130,N.B.,2020-06-12,New,Closures/openings,Education,Return to School: September 2020 released with aims for in-person K-8 and blended grades 9 to 12 learning,"Department of Education and Early Childhood Development
"
NB132,N.B.,2020-06-26,Eased,Closures/openings,Daycares,Day and overnight camps opened in Zone 5,"Premier, Chief Medical Officer of Health
"
NB133,N.B.,2020-05-08,Eased,Closures/openings,Daycares,Day camp openings permitted,"Office of the Premier
"
NB134,N.B.,2020-06-26,Eased,Closures/openings,Health services,Zone 5 re-entered yellow alert level: non-regulated health professionals reopened,"Premier, Chief Medical Officer of Health
"
NB135,N.B.,2020-06-26,Eased,Distancing,Gatherings,Zone 5 permitted to expand household bubbles to include more close friends and family; outdoor gatherings of 50 permitted,"Premier, Chief Medical Officer of Health
"
NB136,N.B.,2020-06-19,Eased,Distancing,Gatherings,"Capacity limitations on controlled venues (e.g., churches, water parks) removed, provided social distancing measures are maintained","Premier, Chief Medical Officer of Health
"
NB137,N.B.,2020-03-13,New,Health services,Telemedicine/virtual care,Virtual care billing code for physicians released,Vitalité Health Network
NB138,N.B.,2020-05-13,New,Health workforce,Safety guidelines,Plan released to guide dentists through safe reopening procedures for non-essential services,New Brunswick Dental Society
NB139,N.B.,2020-07-20,New,Health workforce,Safety guidelines,Directives for dental hygienists for safe reopening of services issued,New Brunswick College of Dental Hygienists
NB140,N.B.,2020-07-31,New,Health workforce,Safety guidelines,Guidelines for dietitians for safe group sessions issued,New Brunswick Association of Dietitians
NB141,N.B.,2020-08-11,New,Public information,Pandemic response plans,Public health recovery alert levels revised,"Department of Health
"
NB143,N.B.,2020-08-28,Eased,Health services,Visitors,Long-term care residents permitted day/overnight off-site visits and allowed designated support people ,"Department of Health
"
NB147,N.B.,2020-09-17,New,Travel,Restrictions,Day trip travel restrictions for Quebec border community of Témiscouata Municipal Regional County announced,"Department of Health
"
NB148,N.B.,2020-09-17,New,Travel,Self-isolation,Mandatory 14-day self-isolation for travellers from the Quebec border community of Témiscouata Municipal Regional County announced,"Department of Health
"
NB149,N.B.,2020-09-18,New,Case management,Contact tracing,COVID Alert app launched in province,"Premier, Chief Medical Officer of Health
"
NB150,N.B.,2020-10-01,New,Public information,Masks,Mask use inside all Service New Brunswick centres mandated,Service New Brunswick
NB151,N.B.,2020-09-25,New,Travel,Restrictions,Day trip travel restrictions for Quebec border community of Avignon Municipal Regional County announced,"Department of Health
"
NB152,N.B.,2020-09-25,New,Travel,Self-isolation,Mandatory 14-day self-isolation for travellers from the Quebec border community of Avignon Municipal Regional County announced,"Department of Health
"
NB153,N.B.,2020-08-13,New,Closures/openings,Education,Return to School: Guide for Parents and the Public released; masks required for grades 6 to 12 on buses and in common areas,"Department of Health, Department of Education and Early Childhood Development
"
NB157,N.B.,2020-08-28,New,Case management,Education,Mandatory testing announced for international students on the 10th day of self-isolation; voluntary testing for Canadian students,"Department of Health, Department of Education and Early Childhood Development
"
NB159,N.B.,2020-08-25,New,Case management,Education,"Guidance document for outbreak management, Return to School: Direction for School Districts and Schools, released","Department of Health, Department of Education and Early Childhood Development
"
NB162,N.B.,2020-09-08,Eased,Closures/openings,Education,Public schools began opening for first day of classes,"Department of Education and Early Childhood Development
"
NB163,N.B.,2020-04-26,Eased,Public information,Phase and alert level changes,All regions entered Phase 1 (red) of recovery plan,"Office of the Premier, Chief Medical Officer of Health
"
NB165,N.B.,2020-10-09,New,Public information,Masks,Mask use in most public spaces mandated,"Department of Health
"
NB166,N.B.,2020-10-09,New,Travel,Restrictions,Travel from border communities of Listuguj First Nation and Pointe-à-la-Croix restricted with exemptions for essential travel,"Department of Health
"
NB167,N.B.,2020-10-09,New,Travel,Self-isolation,14-day self-isolation for travellers from the Quebec border communities of Listuguj First Nation and Pointe-à-la-Croix required,"Department of Health
"
NB168,N.B.,2020-10-10,New,Public information,Phase and alert level changes,Zones 1 and 5 elevated to Phase 2 (orange) of revised recovery plan,"Office of the Premier, Department of Health
"
NB169,N.B.,2020-10-10,New,Distancing,Gatherings,Household bubbles restricted to 2 households and indoor/outdoor gatherings restricted to 10 (zones 1 and 5),"Office of the Premier, Department of Health
"
NB170,N.B.,2020-10-10,New,Health services,Visitors,Visitor access to long-term care for indoor and off-site visits (with exceptions) suspended (zones 1 and 5),"Office of the Premier, Department of Health
"
NB171,N.B.,2020-10-10,New,Closures/openings,Non-essential services,"Close-contact personal services (e.g., barber, hairstylist and spas) closed (zones 1 and 5)","Office of the Premier, Department of Health
"
NB172,N.B.,2020-10-10,New,Closures/openings,Recreation,"Fitness, arts and recreational facilities closed and organized sports suspended (zones 1 and 5)","Office of the Premier, Department of Health
"
NB173,N.B.,2020-10-10,New,Public information,Masks,Use of face masks in both indoor and outdoor public spaces mandated (zones 1 and 5),"Office of the Premier, Department of Health
"
NB174,N.B.,2020-10-12,New,Closures/openings,Non-essential services,"Services offered by Service New Brunswick (e.g., in-car drivers tests, in-person appointments) reduced (zones 1 and 5)","Service New Brunswick
"
NB176,N.B.,2020-10-23,Eased,Public information,Phase and alert level changes,Zone 1 lowered to Phase 3 (yellow) of revised recovery plan,"Office of the Premier, Department of Health
"
NB178,N.B.,2020-10-23,New,Distancing,Gatherings,Household bubbles restricted to single household plus caregivers and members of immediate family (Zone 5),"Office of the Premier, Department of Health
"
NB179,N.B.,2020-10-23,Eased,Distancing,Gatherings,"Uncontrolled outdoor gatherings of 50 allowed, limit on controlled gatherings lifted; may add family/friends to household bubbles (Zone 1)","Office of the Premier, Department of Health
"
NB180,N.B.,2020-10-23,Eased,Health services,Visitors,Visitor restrictions in long-term care relaxed to allow indoor and off-site visits (Zone 1),"Office of the Premier, Department of Health
"
NB181,N.B.,2020-10-23,Eased,Closures/openings,Non-essential services,"Close-contact personal services (e.g., barber, hairstylist and spas) permitted (Zone 1)","Office of the Premier, Department of Health
"
NB182,N.B.,2020-10-23,Eased,Closures/openings,Recreation,"Fitness, arts and recreational facilities opened and organized sports resumed (Zone 1)","Office of the Premier, Department of Health
"
NB183,N.B.,2020-10-23,Eased,Public information,Masks,Requirement to wear masks in outdoor public spaces lifted (Zone 1),"Office of the Premier, Department of Health
"
NB186,N.B.,2020-10-30,Eased,Travel,Self-isolation,Self-isolation requirements eased for workers from outside the Atlantic bubble who test negative 3 times in the 12 days upon arrival,"Office of the Premier, Department of Health
"
NB187,N.B.,2020-11-06,Eased,Public information,Phase and alert level changes,Zone 5 lowered to Phase 3 (yellow) of revised recovery plan,"Office of the Premier, Department of Health
"
NB188,N.B.,2020-11-06,Eased,Distancing,Gatherings,Uncontrolled outdoor gatherings of 50 permitted and limit on controlled gatherings lifted; may add to 2-household bubbles (Zone 5),"Office of the Premier, Department of Health
"
NB189,N.B.,2020-11-06,Eased,Health services,Visitors,Visitor restrictions in long-term care relaxed to allow indoor and off-site visits (Zone 5),"Office of the Premier, Department of Health
"
NB190,N.B.,2020-11-06,Eased,Closures/openings,Non-essential services,"Close-contact personal services businesses (e.g., barber, hairstylist and spas) permitted (Zone 5)","Office of the Premier, Department of Health
"
NB191,N.B.,2020-11-06,Eased,Closures/openings,Recreation,"Fitness, arts and recreational facilities opened and organized sports resumed (Zone 5)","Office of the Premier, Department of Health
"
